,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
7432,Dhofar 285,7068.0,Valid,Eucrite-pmict,216.0,Found,2001.0,18.43333,54.17,"(18.433330, 54.170000)"
7433,Dhofar 286,7069.0,Valid,L6,1453.0,Found,2001.0,18.12667,54.115,"(18.126670, 54.115000)"
7434,Dhofar 287,7070.0,Valid,Lunar (basalt),154.0,Found,2001.0,18.40333,54.14667,"(18.403330, 54.146670)"
7435,Dhofar 288,7071.0,Valid,L6,996.0,Found,2001.0,18.49333,54.13333,"(18.493330, 54.133330)"
7436,Dhofar 289,7072.0,Valid,H6,1180.0,Found,2001.0,18.33333,54.19333,"(18.333330, 54.193330)"
7437,Dhofar 290,7073.0,Valid,Acapulcoite,62.0,Found,2001.0,19.315,54.84333,"(19.315000, 54.843330)"
7438,Dhofar 291,7074.0,Valid,L5,1164.0,Found,2000.0,18.24833,54.10333,"(18.248330, 54.103330)"
7439,Dhofar 292,7075.0,Valid,H6,804.0,Found,2000.0,19.36833,54.68,"(19.368330, 54.680000)"
7440,Dhofar 293,7076.0,Valid,L5,2366.0,Found,2001.0,19.10667,54.85833,"(19.106670, 54.858330)"
7441,Dhofar 294,7077.0,Valid,H3.9,5988.0,Found,2001.0,18.61333,54.5,"(18.613330, 54.500000)"
7442,Dhofar 295,7078.0,Valid,Ureilite,48.0,Found,2002.0,19.20833,54.64,"(19.208330, 54.640000)"
7443,Dhofar 296,7079.0,Valid,L5,1412.0,Found,2000.0,19.32833,54.7,"(19.328330, 54.700000)"
7444,Dhofar 297,7080.0,Valid,L6,698.0,Found,2001.0,18.47167,54.15333,"(18.471670, 54.153330)"
7445,Dhofar 298,7081.0,Valid,H6,677.0,Found,2001.0,18.17667,54.26333,"(18.176670, 54.263330)"
7446,Dhofar 299,7082.0,Valid,L3.9,410.0,Found,2001.0,18.54667,54.31,"(18.546670, 54.310000)"
7447,Dhofar 300,7083.0,Valid,Eucrite,624.0,Found,2001.0,18.40333,54.14333,"(18.403330, 54.143330)"
7448,Dhofar 301,7084.0,Valid,Lunar (anorth),9.0,Found,2001.0,18.40167,54.14833,"(18.401670, 54.148330)"
7449,Dhofar 302,7085.0,Valid,Lunar (anorth),3.83,Found,2001.0,19.32667,54.785,"(19.326670, 54.785000)"
7450,Dhofar 303,7086.0,Valid,Lunar (anorth),4.15,Found,2001.0,19.33,54.78333,"(19.330000, 54.783330)"
7451,Dhofar 304,7087.0,Valid,Lunar (anorth),10.0,Found,2001.0,18.40333,54.15,"(18.403330, 54.150000)"
7452,Dhofar 305,7088.0,Valid,Lunar (anorth),34.11,Found,2001.0,19.33,54.78333,"(19.330000, 54.783330)"
